Symbol,Name,Sector,Average Absolute Daily Beta Adjusted Return,Average Daily Beta Adjusted Return,Average Daily non-holding Beta Adjusted Return,Std Error of Daily Holding Period Beta Adjusted Return,Std Dev of Daily Holding Period Beta Adjusted Return,Average Daily Beta Adjusted Return of Study Period,Median Daily Beta Adjusted Return,P Value (Beta Adjusted),P Value of Absolute Returns (Beta Adjusted),Std Error of Daily Study Period Beta Adjusted Return,Std Dev of Daily Study Period Beta Adjusted Return,Average Percent Return,Average Absolute Daily Return,Average Daily Return,Average Daily non-holding Return,Trade Period Beta with Benchmark,Number of Trades,Cumulative Percent Return,Std Error of Daily Holding Period Return,Std Dev of Daily Holding Period Return,Event Sensitivity,Best Percent Return,Mean Absolute Percent Return,Average Daily Return of Study Period,Median Percent Return,Median Absolute Percent Return,Median Daily Return,Worst Percent Return,Number of Days Positive,Percent of Days Positive,Percent of Trades Positive,P Value ,P Value of Absolute Returns ,R with S&P 500,Risk Adjusted Sharpe Ratio,Sharpe Ratio,Std Error of Daily Study Period Return,Std Dev of Daily Study Period Return,Study Period Beta with Benchmark,Earliest Data Date,Latest Data Date
BHI,Baker Hughes Inc.,Energy,1.04%,0.18%,-0.01%,0.20%,1.40%,0.00%,0.07%,0.76,0.20,0.03%,1.40%,3.75%,1.72%,0.62%,-0.02%,1.61,8,34.28%,0.36%,2.49%,0.68,19.70%,4.59%,0.00%,1.40%,1.71%,0.29%,-1.64%,29,60.42%,75.00%,0.31,0.27,0.67,0.28,0.57,0.06%,2.75%,1.36,01/02/1990,08/21/2015
BIIB,Biogen Idec Inc,Health Care,1.51%,-0.03%,0.14%,0.30%,2.05%,0.13%,-0.46%,0.40,0.22,0.06%,2.50%,1.14%,1.35%,0.19%,0.10%,0.93,8,9.52%,0.27%,1.85%,0.45,11.20%,4.22%,0.10%,0.35%,3.80%,0.13%,-4.55%,25,52.08%,50.00%,0.96,0.44,0.51,-0.11,0.24,0.05%,2.31%,0.78,01/03/1994,08/21/2015
BK,Bank Of New York Mellon Corp.,Finance,0.50%,-0.07%,0.00%,0.12%,0.81%,0.00%,0.05%,0.70,0.00,0.03%,1.16%,2.09%,1.22%,0.35%,0.00%,1.16,8,18.03%,0.24%,1.71%,0.15,6.66%,2.42%,0.00%,1.84%,1.84%,0.36%,-1.27%,31,64.58%,87.50%,0.21,0.06,0.69,0.07,0.47,0.07%,2.99%,1.61,01/02/1980,08/21/2015
BLK,Blackrock,Finance,0.80%,0.06%,0.03%,0.17%,1.19%,0.03%,-0.02%,0.97,0.42,0.03%,1.19%,2.86%,1.62%,0.47%,0.04%,1.40,8,25.28%,0.31%,2.20%,0.73,8.49%,3.80%,0.05%,3.39%,3.39%,0.18%,-1.89%,27,56.25%,62.50%,0.25,0.36,0.65,0.17,0.49,0.06%,2.63%,1.40,10/01/1999,08/21/2015
BLL,Ball Corp.,Consumer Durables,0.75%,0.03%,0.06%,0.15%,1.05%,0.06%,-0.01%,0.80,0.16,0.03%,1.23%,1.67%,1.03%,0.28%,0.05%,1.05,8,14.16%,0.20%,1.41%,0.64,10.92%,2.70%,0.06%,0.86%,1.80%,0.20%,-3.51%,25,52.08%,62.50%,0.56,0.27,0.76,-0.02,0.45,0.04%,1.67%,0.88,01/02/1990,08/21/2015
BMY,Bristol-Myers Squibb Company,Health Care,1.57%,0.32%,0.06%,0.33%,2.32%,0.07%,0.00%,0.90,0.08,0.04%,1.90%,2.38%,1.24%,0.39%,0.04%,0.52,8,20.72%,0.23%,1.60%,0.97,12.70%,4.62%,0.05%,1.44%,3.52%,0.14%,-3.93%,25,52.08%,50.00%,0.30,0.05,0.33,0.13,0.57,0.04%,1.57%,0.66,01/02/1980,08/21/2015
BRCM,Broadcom Corp.,Technology,1.39%,-0.04%,0.02%,0.25%,1.75%,0.02%,-0.02%,0.69,0.06,0.04%,1.89%,1.53%,1.77%,0.25%,0.01%,1.08,8,12.90%,0.32%,2.22%,0.65,13.70%,3.74%,0.01%,1.42%,2.34%,0.13%,-4.75%,25,52.08%,62.50%,0.65,0.36,0.50,-0.03,0.26,0.06%,2.62%,1.09,04/17/1998,08/21/2015
BRK.B,Berkshire Hath Hld B,,1.01%,0.18%,0.03%,0.20%,1.38%,0.04%,0.13%,0.35,0.46,0.04%,1.76%,1.96%,0.95%,0.32%,0.03%,0.96,8,16.83%,0.19%,1.35%,0.67,6.74%,2.49%,0.03%,1.69%,2.26%,0.15%,-2.05%,31,64.58%,87.50%,0.17,0.32,0.72,0.05,0.55,0.04%,1.58%,0.70,06/29/1998,08/21/2015
BSX,Boston Scientific Corp.,Health Care,0.93%,-0.22%,-0.01%,0.17%,1.15%,-0.01%,-0.42%,0.25,0.07,0.04%,1.98%,0.40%,1.11%,0.07%,-0.02%,0.83,8,3.26%,0.21%,1.43%,0.04,3.23%,2.07%,-0.02%,1.25%,1.60%,-0.10%,-5.66%,23,47.92%,75.00%,0.83,0.02,0.59,-0.29,0.11,0.06%,2.50%,1.01,01/03/1994,08/21/2015
BWA,Borgwarner Inc.,Capital Goods,0.97%,0.18%,0.05%,0.22%,1.51%,0.05%,-0.01%,0.93,0.46,0.03%,1.42%,3.64%,1.86%,0.60%,0.06%,1.83,8,33.12%,0.38%,2.68%,0.88,23.83%,7.16%,0.07%,2.53%,5.16%,0.16%,-6.68%,28,58.33%,75.00%,0.50,0.45,0.70,0.25,0.52,0.06%,2.70%,1.33,01/03/1994,08/21/2015
BXP,Boston Properties,Consumer Services,0.72%,-0.03%,0.01%,0.14%,0.99%,0.01%,-0.03%,0.81,0.37,0.03%,1.20%,2.24%,1.64%,0.37%,0.01%,1.43,8,19.40%,0.30%,2.09%,0.82,10.37%,4.57%,0.02%,2.52%,4.52%,0.37%,-5.18%,30,62.50%,62.50%,0.21,0.13,0.70,0.08,0.41,0.06%,2.81%,1.49,06/18/1997,08/21/2015
C,Citigroup Inc.,Finance,0.66%,0.01%,-0.04%,0.13%,0.93%,-0.04%,-0.05%,0.78,0.22,0.04%,1.61%,3.59%,1.88%,0.59%,-0.13%,1.70,8,32.61%,0.37%,2.56%,0.37,20.47%,4.59%,-0.12%,2.30%,2.52%,0.39%,-2.60%,28,58.33%,75.00%,0.07,0.24,0.68,0.25,0.53,0.10%,4.41%,2.03,01/02/1990,08/21/2015
CA,CA Inc.,Technology,0.67%,-0.06%,0.01%,0.12%,0.86%,0.01%,-0.15%,0.40,0.18,0.03%,1.43%,1.26%,0.99%,0.21%,0.01%,1.16,8,10.54%,0.20%,1.42%,0.27,11.80%,3.18%,0.02%,0.23%,2.51%,0.02%,-3.09%,24,50.00%,50.00%,0.73,0.03,0.84,-0.11,0.34,0.04%,1.91%,0.94,01/02/1990,08/21/2015
CAG,Conagra Foods,Consumer Non-Durables,1.83%,-0.69%,0.06%,0.40%,2.77%,0.05%,-0.48%,0.13,0.25,0.06%,2.52%,-1.15%,0.95%,-0.19%,0.03%,0.66,8,-8.85%,0.21%,1.45%,0.80,5.50%,3.26%,0.02%,-1.40%,2.97%,0.02%,-6.05%,24,50.00%,25.00%,0.31,0.50,0.47,-0.63,-0.31,0.03%,1.33%,0.46,01/02/1990,08/21/2015
CAH,Cardinal Health,Health Care,1.13%,0.09%,0.01%,0.21%,1.44%,0.01%,0.10%,0.76,0.24,0.04%,1.86%,1.71%,1.05%,0.28%,0.01%,0.68,8,14.53%,0.19%,1.29%,0.56,7.73%,3.11%,0.02%,1.39%,2.78%,0.36%,-3.04%,29,60.42%,75.00%,0.20,0.36,0.54,-0.01,0.51,0.04%,1.82%,0.75,01/02/1990,08/21/2015
CAM,Cameron International Corp.,Energy,0.97%,0.08%,0.03%,0.17%,1.19%,0.04%,0.01%,0.95,0.13,0.03%,1.41%,3.08%,1.91%,0.51%,0.04%,1.67,8,27.47%,0.34%,2.40%,0.78,19.04%,3.87%,0.05%,0.20%,1.03%,0.21%,-1.25%,26,54.17%,50.00%,0.44,0.31,0.71,0.19,0.49,0.06%,2.90%,1.43,07/05/1995,08/21/2015
CAT,Caterpillar,Capital Goods,0.67%,0.02%,0.02%,0.12%,0.83%,0.02%,0.06%,0.97,0.46,0.03%,1.14%,2.24%,1.31%,0.37%,0.03%,1.45,8,19.43%,0.25%,1.78%,0.48,14.33%,4.78%,0.04%,1.44%,4.25%,0.23%,-6.11%,26,54.17%,62.50%,0.30,0.22,0.84,0.09,0.48,0.05%,2.23%,1.21,01/02/1990,08/21/2015
CB,Chubb Corp.,Finance,0.54%,-0.04%,0.03%,0.10%,0.67%,0.03%,0.00%,0.73,0.14,0.03%,1.22%,1.45%,0.86%,0.24%,0.03%,0.96,8,12.24%,0.17%,1.19%,0.26,6.23%,2.41%,0.04%,0.68%,2.40%,0.06%,-3.45%,25,52.08%,62.50%,0.36,0.09,0.83,-0.07,0.47,0.04%,1.86%,0.99,01/02/1990,08/21/2015
CBG,CBRE Group Inc,Finance,0.99%,0.08%,0.02%,0.21%,1.45%,0.02%,-0.18%,0.57,0.02,0.04%,1.57%,4.64%,2.75%,0.76%,-0.03%,1.83,8,43.78%,0.52%,3.66%,0.86,11.69%,5.34%,-0.01%,4.29%,4.62%,0.84%,-2.63%,30,62.50%,87.50%,0.10,0.07,0.52,0.29,0.48,0.10%,4.63%,2.20,06/10/2004,08/21/2015
CBS,CBS Corp.,Consumer Services,0.66%,-0.08%,0.03%,0.13%,0.88%,0.03%,-0.11%,0.51,0.21,0.03%,1.34%,1.85%,1.55%,0.31%,0.03%,1.70,8,15.84%,0.32%,2.21%,0.37,21.85%,6.32%,0.04%,0.88%,4.52%,0.21%,-10.48%,26,54.17%,62.50%,0.57,0.10,0.79,0.02,0.32,0.07%,3.04%,1.54,08/13/2003,08/21/2015
CCE,Coca-Cola Enterprises,Consumer Non-Durables,0.88%,-0.08%,0.06%,0.19%,1.31%,0.06%,0.12%,0.88,0.08,0.05%,2.06%,1.06%,1.04%,0.17%,0.04%,0.79,8,8.76%,0.20%,1.37%,0.39,5.42%,3.25%,0.05%,2.68%,2.91%,0.23%,-4.41%,31,64.58%,62.50%,0.54,0.24,0.59,-0.15,0.29,0.05%,2.15%,0.84,01/02/1990,08/21/2015
CCI,Crown Castle International Corp.,Consumer Services,1.17%,0.05%,0.04%,0.22%,1.50%,0.04%,0.18%,0.82,0.05,0.03%,1.51%,2.13%,1.58%,0.35%,0.04%,1.11,8,18.37%,0.28%,1.97%,0.97,8.45%,3.83%,0.05%,2.37%,3.19%,0.37%,-2.76%,27,56.25%,62.50%,0.22,0.04,0.58,0.06,0.41,0.05%,2.23%,1.07,08/18/1998,08/21/2015
CCL,Carnival Corp.,Consumer Services,0.64%,-0.11%,0.00%,0.13%,0.88%,0.00%,-0.01%,0.89,0.02,0.03%,1.34%,1.28%,1.28%,0.21%,0.00%,1.45,8,10.73%,0.26%,1.83%,0.23,11.11%,4.53%,0.00%,2.59%,2.99%,0.22%,-9.39%,28,58.33%,75.00%,0.30,0.05,0.81,-0.08,0.27,0.05%,2.40%,1.21,01/02/1990,08/21/2015
CELG,Celgene Corp.,Health Care,1.34%,-0.14%,0.08%,0.27%,1.88%,0.07%,-0.33%,0.27,0.34,0.05%,2.12%,0.71%,1.41%,0.12%,0.06%,0.84,8,5.84%,0.27%,1.85%,0.54,9.28%,3.50%,0.06%,-0.24%,3.17%,0.07%,-4.78%,25,52.08%,50.00%,0.87,0.40,0.47,-0.19,0.15,0.05%,2.24%,0.87,01/03/1994,08/21/2015
CERN,Cerner Corp.,Technology,1.49%,0.00%,0.11%,0.27%,1.89%,0.11%,-0.14%,0.52,0.06,0.05%,2.20%,1.31%,1.35%,0.22%,0.08%,0.94,8,11.00%,0.25%,1.75%,0.64,5.74%,2.32%,0.08%,1.08%,1.82%,-0.12%,-2.19%,23,47.92%,75.00%,0.91,0.37,0.55,-0.08,0.29,0.05%,2.05%,0.78,01/03/1994,08/21/2015
CF,Cf Industries Holdings,Basic Industries,1.20%,0.55%,0.10%,0.23%,1.58%,0.11%,0.34%,0.05,0.13,0.05%,2.05%,6.64%,2.14%,1.08%,0.10%,1.88,8,67.28%,0.40%,2.79%,0.66,21.35%,6.64%,0.12%,3.99%,3.98%,0.63%,0.55%,32,66.67%,100.00%,0.02,0.35,0.70,0.61,0.89,0.08%,3.39%,1.33,02/04/2003,08/21/2015
CHK,Chesapeake Energy Corp.,Energy,0.96%,-0.03%,0.01%,0.17%,1.18%,0.01%,-0.39%,0.39,0.47,0.04%,1.75%,2.19%,1.62%,0.36%,-0.01%,1.17,8,18.91%,0.30%,2.06%,0.25,11.10%,3.29%,0.00%,1.60%,2.17%,-0.13%,-2.09%,23,47.92%,62.50%,0.72,0.22,0.58,0.07,0.40,0.07%,3.30%,1.45,05/03/1995,08/21/2015
CHRW,C.H. Robinson Worldwide,Transportation,0.82%,0.06%,0.03%,0.15%,1.06%,0.03%,0.00%,0.67,0.49,0.04%,1.64%,1.91%,1.13%,0.32%,0.03%,1.18,8,16.31%,0.22%,1.55%,0.40,10.68%,3.25%,0.03%,0.94%,2.41%,0.27%,-2.74%,29,60.42%,50.00%,0.18,0.21,0.78,0.03,0.47,0.05%,2.05%,0.94,10/15/1997,08/21/2015
CI,Cigna Corp.,Health Care,0.80%,-0.29%,0.05%,0.18%,1.23%,0.04%,-0.09%,0.34,0.07,0.04%,1.79%,-0.06%,1.30%,-0.01%,0.04%,1.03,8,-0.45%,0.26%,1.80%,0.28,9.10%,4.49%,0.04%,1.35%,3.29%,0.12%,-10.68%,25,52.08%,62.50%,0.95,0.27,0.59,-0.33,-0.01,0.06%,2.68%,1.16,01/02/1990,08/21/2015
CINF,Cincinnati Financial Corp.,Finance,0.53%,-0.19%,0.01%,0.11%,0.75%,0.01%,-0.08%,0.24,0.20,0.02%,1.02%,0.70%,0.94%,0.12%,0.02%,1.06,8,5.78%,0.20%,1.41%,0.25,5.99%,3.04%,0.02%,0.59%,2.38%,0.07%,-5.41%,26,54.17%,50.00%,0.92,0.02,0.77,-0.23,0.19,0.05%,2.13%,1.21,12/16/1991,08/21/2015
CL,Colgate-Palmolive Company,Consumer Non-Durables,1.11%,0.19%,0.07%,0.20%,1.38%,0.07%,0.17%,0.58,0.46,0.04%,1.78%,1.57%,0.66%,0.26%,0.04%,0.37,8,13.25%,0.12%,0.82%,0.19,2.99%,1.91%,0.04%,2.21%,2.21%,0.18%,-1.33%,30,62.50%,87.50%,0.10,0.10,0.46,-0.05,0.73,0.03%,1.24%,0.54,01/02/1990,08/21/2015
CLX,Clorox Company,Consumer Durables,1.40%,0.27%,0.05%,0.32%,2.25%,0.06%,0.18%,0.55,0.30,0.05%,2.16%,1.55%,0.83%,0.26%,0.03%,0.52,8,13.12%,0.17%,1.18%,0.79,5.74%,2.15%,0.03%,1.22%,1.39%,0.29%,-1.41%,29,60.42%,75.00%,0.12,0.39,0.45,-0.05,0.50,0.03%,1.21%,0.47,01/02/1990,08/21/2015
CMA,Comerica Inc.,Finance,0.88%,-0.11%,0.01%,0.18%,1.21%,0.01%,-0.12%,0.58,0.22,0.03%,1.51%,1.53%,1.72%,0.25%,0.00%,1.47,8,12.96%,0.34%,2.39%,0.48,14.11%,3.70%,0.00%,0.88%,1.46%,-0.20%,-7.45%,21,43.75%,75.00%,0.54,0.24,0.63,-0.03,0.25,0.07%,3.18%,1.52,09/09/1991,08/21/2015
CMCSA,Comcast Corp.,Consumer Services,0.63%,0.18%,0.03%,0.11%,0.79%,0.03%,0.13%,0.19,0.08,0.03%,1.29%,3.15%,1.18%,0.52%,0.03%,1.23,8,28.11%,0.22%,1.53%,0.40,12.87%,4.48%,0.04%,2.83%,3.17%,0.38%,-3.01%,32,66.67%,75.00%,0.04,0.15,0.82,0.28,0.78,0.05%,2.13%,1.10,08/26/1988,08/21/2015
CME,Cme Group Inc.,Finance,0.94%,0.06%,0.00%,0.17%,1.20%,0.00%,0.02%,0.85,0.20,0.03%,1.49%,2.67%,1.58%,0.44%,-0.01%,1.33,8,23.45%,0.30%,2.08%,0.69,8.81%,3.62%,0.00%,1.38%,2.45%,0.37%,-1.47%,28,58.33%,50.00%,0.16,0.46,0.66,0.15,0.49,0.06%,2.72%,1.31,12/06/2002,08/21/2015
CMG,Chipotle Mexican Grill,Consumer Services,1.29%,-0.09%,0.15%,0.23%,1.59%,0.14%,-0.13%,0.48,0.36,0.06%,2.43%,1.10%,1.45%,0.18%,0.12%,1.01,8,9.15%,0.26%,1.85%,0.22,8.12%,4.86%,0.13%,3.28%,4.60%,0.22%,-5.46%,26,54.17%,62.50%,0.69,0.33,0.56,-0.12,0.23,0.06%,2.72%,0.95,01/26/2006,08/21/2015
CMI,Cummins Inc.,Energy,0.80%,0.14%,0.05%,0.17%,1.18%,0.05%,0.00%,0.71,0.41,0.03%,1.25%,4.07%,1.92%,0.67%,0.07%,1.82,8,37.57%,0.38%,2.65%,0.70,18.20%,6.58%,0.08%,2.74%,5.00%,0.36%,-6.13%,30,62.50%,75.00%,0.17,0.36,0.71,0.31,0.58,0.07%,3.10%,1.61,01/02/1990,08/21/2015
CMS,Cms Energy Corp.,Public Utilities,0.99%,0.00%,0.05%,0.18%,1.23%,0.05%,-0.04%,0.64,0.42,0.03%,1.43%,1.24%,0.87%,0.21%,0.04%,0.57,8,10.40%,0.15%,1.05%,0.45,4.84%,2.41%,0.04%,1.50%,2.31%,0.24%,-2.23%,26,54.17%,62.50%,0.49,0.45,0.55,-0.13,0.45,0.03%,1.46%,0.72,11/01/1989,08/21/2015
CNP,Centerpoint Energy Inc,Public Utilities,1.05%,-0.02%,0.04%,0.21%,1.43%,0.04%,-0.13%,0.59,0.45,0.04%,1.58%,1.20%,1.06%,0.20%,0.03%,0.83,8,10.01%,0.20%,1.37%,0.80,4.70%,1.97%,0.04%,0.77%,1.39%,0.19%,-1.69%,28,58.33%,62.50%,0.50,0.40,0.62,-0.12,0.34,0.04%,1.61%,0.75,01/02/1990,08/21/2015
CNX,Consol Energy Inc.,Energy,0.83%,0.15%,0.01%,0.16%,1.12%,0.02%,0.05%,0.45,0.03,0.04%,1.56%,4.38%,2.20%,0.72%,-0.01%,2.20,8,40.94%,0.42%,2.93%,0.51,21.29%,5.60%,0.01%,2.19%,3.18%,0.42%,-3.04%,28,58.33%,62.50%,0.22,0.25,0.77,0.32,0.57,0.08%,3.70%,1.73,04/30/1999,08/21/2015
COF,Capital One Financial Corp.,Finance,0.59%,-0.10%,0.02%,0.10%,0.72%,0.01%,-0.16%,0.47,0.33,0.03%,1.40%,2.04%,1.64%,0.34%,0.00%,1.52,8,17.56%,0.29%,2.02%,0.29,12.64%,3.40%,0.01%,1.39%,2.79%,0.46%,-2.94%,28,58.33%,62.50%,0.27,0.43,0.77,0.05,0.39,0.08%,3.64%,1.80,11/16/1994,08/21/2015
COG,Cabot Oil & Gas Corp.,Energy,1.19%,-0.03%,0.06%,0.22%,1.51%,0.06%,-0.20%,0.55,0.16,0.04%,1.66%,2.09%,1.99%,0.35%,0.07%,1.36,8,17.99%,0.36%,2.55%,0.64,12.34%,3.30%,0.07%,0.97%,1.90%,0.16%,-2.62%,25,52.08%,75.00%,0.73,0.46,0.55,0.05,0.31,0.07%,3.10%,1.40,01/03/1994,08/21/2015
COH,Coach,Consumer Non-Durables,0.98%,0.10%,0.00%,0.20%,1.40%,0.00%,0.01%,0.79,0.36,0.04%,1.60%,2.90%,1.65%,0.48%,-0.02%,1.23,8,25.73%,0.31%,2.19%,0.52,17.22%,5.35%,0.00%,1.52%,3.78%,0.53%,-5.90%,27,56.25%,50.00%,0.18,0.38,0.58,0.18,0.50,0.06%,2.76%,1.26,10/05/2000,08/21/2015
COL,Rockwell Collins,Capital Goods,0.82%,-0.02%,0.01%,0.16%,1.10%,0.01%,0.13%,0.65,0.34,0.03%,1.19%,1.54%,1.08%,0.25%,0.01%,0.92,8,13.00%,0.20%,1.42%,0.52,11.29%,4.61%,0.02%,1.94%,3.73%,0.27%,-8.47%,29,60.42%,75.00%,0.17,0.28,0.66,-0.05,0.41,0.04%,1.79%,0.95,07/02/2001,08/21/2015
COP,Conocophillips,Energy,0.99%,-0.07%,0.01%,0.20%,1.37%,0.01%,0.15%,0.99,0.08,0.03%,1.18%,1.36%,1.42%,0.23%,0.01%,1.07,8,11.43%,0.27%,1.89%,0.96,9.89%,4.32%,0.02%,1.92%,3.51%,0.23%,-6.95%,29,60.42%,75.00%,0.54,0.26,0.58,-0.07,0.28,0.05%,2.07%,1.10,01/02/1990,08/21/2015
COST,Costco Wholesale Corp.,Consumer Services,1.14%,-0.06%,0.07%,0.22%,1.49%,0.07%,0.14%,0.90,0.29,0.04%,1.65%,0.95%,0.88%,0.16%,0.05%,0.49,8,7.83%,0.16%,1.13%,0.37,5.69%,2.19%,0.05%,1.04%,2.30%,0.04%,-2.75%,25,52.08%,50.00%,0.71,0.29,0.45,-0.20,0.32,0.03%,1.51%,0.69,01/02/1990,08/21/2015
CPB,Campbell Soup Company,Consumer Non-Durables,1.56%,0.19%,0.02%,0.30%,2.09%,0.03%,0.10%,0.74,0.44,0.05%,2.35%,1.28%,0.75%,0.21%,0.01%,0.35,8,10.73%,0.14%,1.00%,0.33,4.93%,1.77%,0.02%,1.04%,1.46%,0.22%,-1.31%,30,62.50%,62.50%,0.29,0.23,0.35,-0.12,0.49,0.03%,1.25%,0.45,01/02/1990,08/21/2015
CRM,Salesforce.com Inc.,Technology,0.99%,0.25%,0.08%,0.18%,1.23%,0.08%,0.24%,0.25,0.28,0.04%,1.84%,4.03%,1.76%,0.66%,0.08%,1.42,8,37.16%,0.30%,2.12%,0.35,14.01%,5.25%,0.09%,4.07%,4.54%,0.59%,-4.56%,31,64.58%,87.50%,0.09,0.36,0.69,0.36,0.72,0.07%,2.96%,1.26,06/23/2004,08/21/2015
CSC,Computer Sciences Corp.,Technology,0.72%,0.08%,0.00%,0.14%,0.96%,0.00%,0.13%,0.47,0.22,0.04%,1.63%,2.26%,1.12%,0.37%,0.00%,1.08,8,19.55%,0.21%,1.47%,0.26,12.11%,3.16%,0.01%,1.35%,2.33%,-0.11%,-2.64%,23,47.92%,62.50%,0.34,0.16,0.75,0.11,0.58,0.05%,2.22%,1.02,01/02/1990,08/21/2015
CSCO,Cisco Systems,Technology,0.63%,-0.19%,0.00%,0.14%,0.97%,-0.01%,-0.11%,0.38,0.02,0.03%,1.34%,0.56%,1.04%,0.09%,0.00%,1.03,8,4.58%,0.21%,1.47%,0.25,12.24%,3.22%,0.00%,-0.23%,1.48%,0.02%,-5.76%,24,50.00%,50.00%,0.74,0.07,0.72,-0.25,0.15,0.05%,2.06%,1.04,01/03/1994,08/21/2015
CSX,Csx Corp.,Transportation,0.80%,0.13%,0.04%,0.16%,1.08%,0.05%,0.05%,0.67,0.44,0.03%,1.30%,2.96%,1.53%,0.49%,0.05%,1.61,8,26.33%,0.29%,2.06%,0.72,13.38%,3.07%,0.06%,2.12%,2.12%,0.55%,-0.43%,27,56.25%,87.50%,0.11,0.44,0.80,0.20,0.55,0.05%,2.30%,1.19,01/02/1990,08/21/2015
CTAS,Cintas Corp.,Consumer Non-Durables,0.54%,-0.03%,0.03%,0.10%,0.68%,0.03%,-0.16%,0.54,0.08,0.03%,1.32%,1.37%,0.87%,0.23%,0.03%,0.98,8,11.53%,0.17%,1.17%,0.14,7.29%,1.80%,0.03%,0.77%,1.04%,0.05%,-1.49%,26,54.17%,75.00%,0.43,0.05,0.86,-0.09,0.45,0.04%,1.74%,0.89,03/11/1991,08/21/2015
CTL,Centurylink,Public Utilities,1.22%,-0.31%,0.04%,0.27%,1.86%,0.03%,-0.35%,0.14,0.29,0.05%,2.00%,-0.11%,0.94%,-0.02%,0.02%,0.46,8,-0.91%,0.21%,1.44%,0.40,4.39%,2.86%,0.02%,0.76%,1.95%,0.24%,-8.47%,27,56.25%,62.50%,0.72,0.19,0.33,-0.40,-0.03,0.04%,1.82%,0.73,01/02/1990,08/21/2015
CTSH,Cognizant Technology Solutions,Technology,0.62%,0.04%,0.03%,0.11%,0.79%,0.03%,0.12%,0.65,0.07,0.03%,1.48%,2.47%,1.32%,0.41%,0.03%,1.29,8,21.51%,0.24%,1.65%,0.20,9.99%,4.28%,0.04%,3.27%,3.66%,0.34%,-5.21%,31,64.58%,75.00%,0.15,0.14,0.80,0.14,0.57,0.06%,2.60%,1.25,06/19/1998,08/21/2015
CTXS,Citrix Systems,Technology,1.03%,0.19%,0.04%,0.20%,1.39%,0.04%,-0.05%,0.65,0.23,0.04%,1.72%,3.18%,1.34%,0.52%,0.04%,0.97,8,28.42%,0.26%,1.82%,0.18,15.56%,4.03%,0.05%,2.13%,3.02%,0.27%,-3.11%,27,56.25%,75.00%,0.20,0.05,0.55,0.26,0.66,0.06%,2.48%,1.10,12/08/1995,08/21/2015
CVC,Cablevision Systems Corp.,Consumer Services,1.46%,-0.04%,-0.01%,0.27%,1.90%,-0.01%,-0.07%,0.63,0.04,0.04%,1.94%,1.50%,1.90%,0.25%,-0.02%,1.53,8,12.62%,0.37%,2.60%,0.93,14.51%,4.11%,-0.01%,0.50%,2.06%,0.00%,-6.57%,23,47.92%,62.50%,0.72,0.30,0.61,-0.03,0.22,0.06%,2.70%,1.10,01/03/1994,08/21/2015
CVS,CVS Health Corporation,Health Care,1.14%,0.00%,0.07%,0.27%,1.88%,0.07%,0.16%,0.67,0.27,0.04%,1.93%,1.17%,1.08%,0.19%,0.05%,1.00,8,9.72%,0.24%,1.70%,0.65,4.25%,2.88%,0.05%,2.31%,3.60%,0.24%,-5.68%,31,64.58%,62.50%,0.16,0.31,0.60,-0.11,0.26,0.04%,1.74%,0.71,01/02/1990,08/21/2015
CVX,Chevron Corp.,Energy,0.80%,0.05%,0.03%,0.15%,1.04%,0.03%,0.06%,0.89,0.09,0.02%,0.97%,2.10%,1.03%,0.35%,0.03%,0.91,8,18.04%,0.20%,1.43%,0.62,8.59%,2.58%,0.04%,1.93%,1.93%,0.09%,-0.99%,26,54.17%,62.50%,0.45,0.12,0.65,0.07,0.56,0.04%,1.80%,1.04,01/02/1990,08/21/2015
D,Dominion Resources,Public Utilities,1.33%,0.02%,0.05%,0.24%,1.69%,0.05%,-0.23%,0.60,0.06,0.03%,1.50%,1.15%,0.99%,0.19%,0.04%,0.52,8,9.54%,0.17%,1.18%,0.97,6.43%,2.53%,0.04%,1.36%,2.06%,0.16%,-2.16%,27,56.25%,62.50%,0.46,0.03,0.45,-0.15,0.37,0.03%,1.29%,0.62,01/02/1990,08/21/2015
DAL,Delta Air Lines Inc.,Transportation,1.64%,-0.19%,0.06%,0.32%,2.05%,0.06%,-0.04%,0.69,0.30,0.06%,2.58%,0.64%,2.62%,0.11%,0.03%,1.81,7,4.55%,0.52%,3.44%,0.54,23.46%,8.57%,0.03%,0.97%,7.17%,0.39%,-13.11%,24,57.14%,71.43%,0.65,0.29,0.58,-0.13,0.08,0.09%,4.09%,1.36,02/03/2003,08/21/2015
DD,DuPont,Basic Industries,0.80%,0.22%,0.01%,0.14%,0.99%,0.02%,0.42%,0.08,0.01,0.02%,0.94%,3.42%,1.36%,0.56%,0.02%,1.25,8,30.86%,0.24%,1.70%,0.98,12.81%,4.61%,0.03%,2.72%,4.19%,0.61%,-4.48%,29,60.42%,87.50%,0.02,0.18,0.76,0.32,0.76,0.04%,1.93%,1.12,01/02/1990,08/21/2015
DE,Deere & Company,Capital Goods,0.84%,0.08%,0.02%,0.16%,1.09%,0.03%,-0.01%,1.00,0.31,0.03%,1.30%,2.70%,1.48%,0.44%,0.03%,1.46,8,23.72%,0.29%,2.00%,0.69,16.14%,4.93%,0.04%,0.67%,3.04%,0.33%,-7.25%,29,60.42%,50.00%,0.28,0.32,0.75,0.16,0.51,0.05%,2.41%,1.24,01/02/1990,08/21/2015
